shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
DDD_12_Guediawaye,13,4.017223,-17.39584296655589668,14.766050714169209
DDD_12_Guediawaye,14,4.320454,-17.3931735279370514,14.76540938507210399
DDD_12_Guediawaye,15,4.773644,-17.38944370986682841,14.76366750839934738
DDD_12_Guediawaye,16,5.034888,-17.38809488656468361,14.76235722474127776
DDD_12_Guediawaye,17,5.288298,-17.38945530000000161,14.76057059999999943
DDD_12_Guediawaye,18,5.443216,-17.39024006945477652,14.75954303208355256
DDD_12_Guediawaye,19,5.614675,-17.39117437297137059,14.75831621896879398
DDD_12_Guediawaye,20,5.990408,-17.39322770790897721,14.75560892264786794
DDD_12_Guediawaye,21,6.313224,-17.39491519903587147,14.75339858490356626
DDD_12_Guediawaye,22,6.546345,-17.3962014143703847,14.75171516038008512
